brand,country,operator_or_platform,current_owner_or_controller,owner_country,founder_ownership_status,confidence,notes,source_url,source_publisher,accessed_date
tutti.ch Auto,Switzerland,SMG Swiss Marketplace Group,"TX Group, Ringier, Mobiliar, and General Atlantic",Switzerland / USA,not_founder_owned,high,tutti.ch is part of SMG Swiss Marketplace Group's general marketplaces portfolio.,https://swissmarketplace.group/media-release/smg-announces-reorganisation/,SMG Swiss Marketplace Group,2026-07-05
Blocket Fordon,Sweden,Vend Marketplaces,Public shareholders,Norway,public_company,high,Vend / Schibsted Marketplaces owns Blocket and is a publicly listed marketplace company.,https://schibsted.com/news/vend-schibsted-marketplaces-has-a-new-name/,Schibsted,2026-07-05
FINN motor,Norway,Vend Marketplaces,Public shareholders,Norway,public_company,high,Vend / Schibsted Marketplaces owns FINN and is a publicly listed marketplace company.,https://schibsted.com/news/vend-schibsted-marketplaces-has-a-new-name/,Schibsted,2026-07-05
Bilbasen,Denmark,Vend Marketplaces,Public shareholders,Norway,public_company,high,Vend / Schibsted Marketplaces owns Bilbasen and is a publicly listed marketplace company.,https://schibsted.com/news/vend-schibsted-marketplaces-has-a-new-name/,Schibsted,2026-07-05
Nettiauto,Finland,Alma Media / Nettix,Alma Media,Finland,public_company,high,Alma Media acquired Nettix, whose brands include Nettiauto.,https://news.cision.com/alma-media/r/alma-media-acquires-nettix-oy--the-leading-marketplace-for-motor-vehicles-from-otava-group-for-eur-1%2Cc3300725,Alma Media,2026-07-05
Otomoto,Poland,OLX Group / Otomoto,Prosus / Naspers,Netherlands / South Africa,not_founder_owned,high,OLX Group is Prosus's classifieds business; Otomoto is part of the OLX marketplace portfolio.,https://www.prosus.com/news-insights/2026/olx-launches-agentic-ai-products-to-transform-property-search-and-car-sales-at-claim-ai-in-lisbon,Prosus,2026-07-05
Sauto.cz,Czech Republic,Seznam.cz,Ivo Lukacovic,Czech Republic,founder_controlled,medium,Sauto.cz is a Seznam service; Seznam's own release describes Ivo Lukacovic as owner and founder.,https://blog.seznam.cz/en/2019/02/the-owner-and-founder-of-seznam-cz-steps-down-from-the-firms-board-of-directors/,Seznam.cz,2026-07-05
Autobazar.sk,Slovakia,Autobazar.sk,Unknown,Unknown,needs_registry_check,low,Public search confirmed the site but did not provide reliable current ownership or founder status.,https://www.autobazar.sk/,Autobazar.sk,2026-07-05
Használtautó.hu,Hungary,Ingatlan.com / Használtautó.hu,Ingatlan.com,Hungary,not_founder_owned,medium,Adevinta sold Használtautó.hu with Jofogas and Autonavigator to Ingatlan.com in 2023.,https://www.clairfield.com/transaction/clairfield-advises-adevinta-asa-ade-on-the-sale-of-its-hungarian-subsidiary-operating-leading-portals-hasznaltauto-hu-jofogas-and-autonavigator-to-ingatlan-com/,Clairfield,2026-07-05
Autovit.ro,Romania,OLX Group / Autovit.ro,Prosus / Naspers,Netherlands / South Africa,not_founder_owned,high,OLX Group is Prosus's classifieds business and Autovit is part of the OLX marketplace portfolio.,https://www.prosus.com/news-insights/2026/olx-launches-agentic-ai-products-to-transform-property-search-and-car-sales-at-claim-ai-in-lisbon,Prosus,2026-07-05
Mobile.bg,Bulgaria,Rezon Media,Rezon Media / founder co-owner indicated,Bulgaria,likely_founder_controlled,medium,Rezon Media says it owns mobile.bg; public founder profile identifies Nikolay Nedialkov as founder and co-owner of Rezon Media.,https://rezonmedia.bg/downloads/portfolio-2025.en.pdf,Rezon Media,2026-07-05
Car.gr,Greece,EL CAR GR IKE,Private operating company,Greece,private_ownership_unclear,low,Car.gr terms identify the operating company but public evidence did not establish founder ownership or external ownership.,https://www.car.gr/information/terms?lang=en,Car.gr,2026-07-05
