brand,sector,origin_country,brand_type,notes
Citymapper,Mobility,United Kingdom,app,Transit app
Deliveroo,Food delivery,United Kingdom,app,Food delivery platform
Morrisons,Retail,United Kingdom,retail,Supermarket chain
Philips Domestic Appliances,Household appliances,Netherlands,household appliances,Domestic appliance business now called Versuni
Candy,Household appliances,Italy,household appliances,Appliance maker
The Body Shop,Beauty,United Kingdom,beauty,Beauty retailer
Poundland,Retail,United Kingdom,retail,Discount retailer
Selfridges,Retail,United Kingdom,retail,Luxury department store group
Majestic Wine,Retail,United Kingdom,retail,Wine retailer
Adevinta,Marketplace,Norway,marketplace,Online classifieds group
Merlin Entertainments,Travel,United Kingdom,service,Visitor attractions operator
VFS Global,Travel,Switzerland,service,Visa services provider
Skroutz,Marketplace,Greece,marketplace,Ecommerce marketplace
zooplus,Retail,Germany,retail,Online pet supplies retailer
Nets,Fintech,Denmark,app,Payments provider
TeamSystem,Software,Italy,app,Business software provider
Accell,Retail,Netherlands,retail,Bicycle group
Karo Healthcare,Beauty,Sweden,beauty,Consumer healthcare company
Wella,Beauty,Germany,beauty,Haircare and beauty brand company
Upfield,Food,Netherlands,retail,Spreads and plant-based foods company
Roompot,Travel,Netherlands,service,Holiday parks operator
Exact,Software,Netherlands,app,Business software provider
Pipedrive,Software,Estonia,app,CRM software company
Sophos,Software,United Kingdom,app,Cybersecurity software company
Darktrace,Software,United Kingdom,app,Cybersecurity AI company
SwiftKey,App,United Kingdom,app,Mobile keyboard app
Wunderlist,App,Germany,app,To-do list app
Mapillary,App,Sweden,app,Street-level imagery app
Endomondo,App,Denmark,app,Fitness tracking app
FATMAP,App,United Kingdom,app,Outdoor mapping app
Blinkist,Education,Germany,app,Book summary app
Runna,App,United Kingdom,app,Running coaching app
Peak Games,Gaming,Turkey,app,Mobile game developer
Small Giant Games,Gaming,Finland,app,Mobile game studio
Gram Games,Gaming,Turkey,app,Mobile game developer
Nordeus,Gaming,Serbia,app,Mobile game developer
Sumo Group,Gaming,United Kingdom,app,Video game group
Techland,Gaming,Poland,app,Video game developer
Sharkmob,Gaming,Sweden,app,Video game developer
Tequila Works,Gaming,Spain,app,Video game developer
Miniclip,Gaming,Switzerland,app,Mobile games publisher
Currencycloud,Fintech,United Kingdom,app,Cross-border payments platform
WorldFirst,Fintech,United Kingdom,app,International payments company
Earthport,Fintech,United Kingdom,app,Cross-border payments company
Worldpay,Fintech,United Kingdom,app,Payments company
Paysafe,Fintech,United Kingdom,app,Online payments company
Glovo,Delivery,Spain,app,Delivery app
Etraveli,Travel,Sweden,app,Flight booking platform
Ganni,Fashion,Denmark,retail,Fashion brand
A.P.C.,Fashion,France,retail,Fashion brand
Zenly,App,France,app,Social map app
Booking.com,Travel,Netherlands,app,Hotel booking platform
Cheapflights,Travel,United Kingdom,app,Flight comparison platform
Travelfusion,Travel,United Kingdom,app,Flight content aggregation platform
Kiwi.com,Travel,Czech Republic,app,Flight booking platform
Leboncoin Auto,Auto marketplace,France,mobility,French classifieds car vertical
La Centrale,Auto marketplace,France,mobility,French vehicle marketplace
Coches.net,Auto marketplace,Spain,mobility,Spanish vehicle marketplace
Milanuncios Motor,Auto marketplace,Spain,mobility,Spanish classifieds vehicle section
Subito Motori,Auto marketplace,Italy,mobility,Italian classifieds vehicle section
willhaben Auto,Auto marketplace,Austria,mobility,Austrian classifieds vehicle section
Otomoto,Auto marketplace,Poland,mobility,Polish vehicle marketplace
Autovit.ro,Auto marketplace,Romania,mobility,Romanian vehicle marketplace
Marktplaats Auto,Auto marketplace,Netherlands,mobility,Dutch classifieds vehicle section
2dehands,Auto marketplace,Belgium,mobility,Belgian classifieds platform with vehicle listings
